=================== 正面和负面 同时存在的词  ===================
34-ياخشى بولاتتى=正面=6.482103304319001
664-خېلى قالتىس=正面=9.040199241157156
665-ئەڭ چىرايلىق=正面=13.152754462521937
666-چىرايلىق توپنى=正面=8.078121724300908
667-ئىبراھىموۋىچ تەپتىمىكىن=正面=8.078121724300908
668-قاتارىدىن قىلسۇن=正面=22.26637479868311
669-گىف ئىشلەش=正面=9.040199241157156
670-ھۈنىرىڭىز قالتىسكەنغۇ=正面=9.040199241157156
681-ئېسىل گەپكەن=正面=7.678007276056066
685-ھەقىقەتەن ئېسىل=正面=7.678007276056066
693-ئىشلىرىڭىزنى كۆڭۈلدىكىدەك=正面=11.960764773662753
694-كۆڭۈلدىكىدەك بولغان=正面=11.960764773662753
704-ئۇتۇقلۇق بولغاي=正面=6.1442382057068965
712-چىرايلىق كۆرۈنىدۇ=正面=8.078121724300908
714-ئۇتۇق تىلەيمەن=正面=8.206317624032682
730-نېمانداق چىرايلىق=正面=8.078121724300908
735-تولۇق تەرجىمە=正面=6.659595238942186
740-ھەمىشە كىچىك=正面=11.910138700592784
741-كىچىك بولىۋېلىشنى=正面=11.910138700592784
743-ئېسىل ئىش=正面=7.678007276056066
744-نەقەدەر گۈزەللىكىنى=正面=15.021282679492742
745-تېخىمۇ چوڭقۇر=正面=16.988923754513586
757-مۇۋاپىق نامزات=正面=6.811017654158069
759-نۇسخىسىغا ئالماشتۇرۇۋەتسە=正面=8.078121724300908
760-چىرايلىق بولغۇدەك=正面=8.078121724300908
775-نۇسخىسىغا تەڭشىسەك=正面=6.943160955191833
776-تېخىمۇ گۈزەل=正面=20.553179648633954
777-گۈزەل بولاركەن=正面=6.943160955191833
784-ئەزا بولغانلىقىنى=正面=6.691304098669525
804-يېڭى قۇرۇلغان=正面=6.81101765415807
807-تەڭ تەرەققىي=正面=9.29644448132831
810-تەرەققىي قىلىدۇ=正面=5.81101765415807
814-ياقتۇرۇپ قالدىم=正面=3.0781217243009094
839-ياخشى نەسىھەت=正面=13.409114943000919
851-تېما بار=正面=5.697327886297295
855-فېستىۋال ياخشى=正面=6.943160955191833
856-مەننى بېسىپ=正面=6.943160955191833
859-تېخنىكا گۈزەللىك=正面=6.943160955191833
860-گۈزەللىك تەپسىلات=正面=6.943160955191833
864-تولىمۇ گۈزەل=正面=6.943160955191833
865-گۈزەل ئىش=正面=6.943160955191833
872-ئاخىرى تاپتىم=正面=6.659595238942186
873-تىلىمدىكى مىكرو=正面=8.659595238942186
874-مىكرو بلوگنى=正面=5.489670237499874
876-پەيزى بولاپتىيا=正面=8.659595238942186
894-ھەقىقىي ئىسىم=正面=7.282290387018451
901-مەلۇم بولغايكى=正面=5.943160955191833
911-تازا مۇكەممەل=正面=8.659595238942186
912-مۇكەممەل بولغاي=正面=8.659595238942186
922-ئاتاڭدۇر ئەزىز=正面=6.943160955191833
923-ئەزىز يۇرت=正面=5.62123286030447
924-يۇرت ئەسلى=正面=6.943160955191833
925-ئەسلى بېشىڭنى=正面=6.943160955191833
926-بېشىڭنى سىلايدۇ=正面=6.943160955191833
927-سۆيگەننىڭ گۈزەلدۇر=正面=6.943160955191833
928-گۈزەلدۇر ۋەسلى=正面=6.943160955191833
941-ياخشى ئوقۇش=正面=3.822858768381153
947-ياخشى بولۇپتۇ=正面=10.378356514328598
952-سۆزنى قىلغان=正面=4.474935464960846
967-ئەڭ ئېگىز=正面=3.641092652715756
973-كەچلىك گېزىتى=正面=3.3560791811687043
980-يېڭىچە قىياپەت=正面=4.870652353998462
1007-مىكرو بىلوگىنى=正面=2.6952334417482473
1014-ئېلان قىلىشنىڭ=正面=8.618372576215673
1022-ياخشى باشلىنىش=正面=9.88272193322379
1032-تەلۋە ئادەم=正面=8.040199241157156
1034-ناچار پىسخىكىنىڭ=正面=9.539301005224475
1035-پىسخىكىنىڭ يۇقۇشچانلىقى=正面=9.539301005224475
1037-يۇقۇملۇق كېسەلدىن=正面=8.539301005224475
1038-كېسەلدىن تېز=正面=9.539301005224475
1039-تېز بولىدۇ=正面=7.539301005224474
1040-ياخشى روھى=正面=7.539301005224474
1041-ھالىتىڭىزنى تارقاتسىڭىز=正面=9.539301005224475
1043-يېقىملىق كۈلۈمسىرەشنىڭ=正面=9.539301005224475
1045-ئاكتىپلىقنىڭ ئۇرۇقىنى=正面=9.539301005224475
1046-ئۇرۇقىنى چاچقان=正面=9.539301005224475
1047-ئائىلىنىڭ گۈزەللىكى=正面=6.943160955191833
1048-ئۈمۈتكە تولغانلىقىدا=正面=6.943160955191833
1064-دەسلەپكى قەدەمدە=正面=11.324949953173471
1067-كۈنگە مۇكەممەللەشكىلى=正面=8.659595238942186
1068-مۇكەممەللەشكىلى تۇرۇپتۇ=正面=8.659595238942186
1072-تەرجىمە قىلىۋېتىلسە=正面=8.659595238942186
1076-پەيزى چىقىپتۇ=正面=4.133308645548637
1082-ياخشى ئۇسۇل=正面=11.37323521293173
1085-مەلۇم يولنى=正面=7.282290387018451
1088-قىزغىن قەدەم=正面=7.282290387018451
1089-قەدەم باسقان=正面=4.960362292131088
1091-خۇدايىم بۇيرۇسا=正面=3.7983734449058457
1104-داڭلىق دورامچۇق=正面=7.811017654158069
1105-سەرگەردان ئەمەس=正面=7.811017654158069
1117-ئۇلۇغ جۈمە=正面=5.088639596214909
1118-دوستىڭىزغا تارقاتسىڭىز=正面=19.949868696326746
1123-قىزلار بار=正面=6.07812172430091
1146-غەيرەت قىلىڭلار=正面=12.167023797139626
1149-كەيگۈچى ھەقىقىي=正面=7.282290387018451
1150-ھەقىقىي پادىشاھ=正面=7.282290387018451
1151-پادىشاھ ئەمەس=正面=7.282290387018451
1152-ئېھتىياجى يوق=正面=5.28229038701845
1155-ھەقىقىي پادىشاھتۇر=正面=7.282290387018451
1175-پۈتكۈزۈش كېرەك=正面=7.678007276056066
1177-ئېسىل ۋەزىپەھاياتتۇر=正面=7.678007276056066
1193-ئالتۇندىن قىممەت=正面=5.921845784370449
1214-ھەقىقەت قالتىس=正面=9.040199241157156
1215-قالتىس ئادەم=正面=9.040199241157156
1216-چىشلەپ قويغان=正面=8.040199241157156
1217-ئادەم ياقتۇرىدىغان=正面=9.040199241157156
1218-ياقتۇرىدىغان نەرسىگە=正面=9.040199241157156
1219-نەرسىگە ئايلاندۇردى=正面=9.040199241157156
1229-ئازراق بولسىمۇ=正面=14.20645594596693
1251-خۇدا خالىسا=正面=3.581850668877358
1257-ئىشلىرىمىزغا ئاسانلىق=正面=7.60572836696345
1261-نۇر چېچىش=正面=6.020765866242294
1279-بىكار ئېيتمىغان=正面=21.71287143803368
1281-ئۆزئارا تەمەنناسىز=正面=6.943160955191833
1283-سەمىمىي سالاملىشىشتەك=正面=6.943160955191833
1284-گۈزەل ئەخلاقىمىزدىن=正面=6.943160955191833
1285-ئەخلاقىمىزدىن مەھرۇم=正面=6.943160955191833
1286-مەھرۇم بولمىساق=正面=6.943160955191833
1303-تەۋسىيە قىلىڭلار=正面=8.05229768609704
1348-ئالتۇن مېدال=正面=5.55927570498574
1350-مىكرو بلوگدىكى=正面=5.40727261154069
1356-بەخت تىلەيمەن=正面=10.960764773662751
1384-فىرانسىيەدە ئۆتكۈزۈلگەن=正面=7.811017654158069
1398-ئايفوندا پەچەت=正面=8.078121724300908
1399-پەچەت چىرايلىق=正面=8.078121724300908
1400-چىرايلىق چىقىدىكەن=正面=8.078121724300908
1408-تېخىمۇ ئاز=正面=8.751311408033802
1409-ئاز بولىناتتى=正面=11.558666330091405
1415-قىز دوستۇمنى=正面=6.493159223579753
1421-ياخشىراق بولا=正面=6.350267180834457
1433-فىلىمدىكى ھەقىقىي=正面=7.282290387018451
1434-ھەقىقىي ئىسلام=正面=13.011491093446503
1437-ھەقىقەتەن تەسىرلەندۈرىدۇ=正面=7.282290387018451
1454-قىسقا پاساھەتلىك=正面=7.678007276056066
1455-پاساھەتلىك سۆزلەر=正面=10.586203998914662
1456-تېخىمۇ ۋايىغا=正面=7.678007276056066
1457-ۋايىغا يەتكۈزۈپ=正面=25.163021820508078
1458-ئېسىل دۇردانىلەرنى=正面=7.678007276056066
1459-دۇردانىلەرنى يېزىپ=正面=7.678007276056066
1461-راستىنى ئېيتقاندا=正面=6.0746327382210294
1477-ھەقىقەتەن مەست=正面=6.943160955191833
1478-مەست قىلىدۇدە=正面=6.943160955191833
1479-گۈزەل كۈن=正面=6.943160955191833
1480-يۇرتىمىزغا بەرىكەتلەر=正面=6.943160955191833
1481-بەرىكەتلەر بەرسۇن=正面=6.943160955191833
1494-بەك يارىدى=正面=5.07812172430091
1504-كۆپ بولغىنىدىن=正面=6.7292007064280535
1525-مائارىپمۇ يېشىل=正面=10.013232193556886
1526-يېشىل لىشىشى=正面=10.013232193556886
1527-لىشىشى كېرەك=正面=11.058117588383865
1546-پاساھەتلىك گەپ=正面=5.678007276056066
1564-تىۋال ياخشى=正面=6.943160955191833
1565-بۇرۇنقىلاردىنڭىدىن يۇقىرى=正面=6.943160955191833
1566-نۇسقىسى بولغان=正面=5.943160955191833
1567-ئىش بولاتتىدە=正面=12.98336019634899
1569-ئەجەپ پەيزى=正面=12.085084635984133
1570-ئەمدى ئاستا=正面=5.489670237499874
1571-ئاستا ئاستا=正面=7.960837888773318
1572-ئاستا مۇكەممەل=正面=8.659595238942186
1573-مۇكەممەل قىلۋالسا=正面=8.659595238942186
1583-مىكرو بلوگىنى=正面=9.382266318259717
1590-مۇنەۋۋەر ئۇستازىم=正面=18.656416861141246
1591-ئۇستازىم بولغان=正面=18.656416861141246
1592-چوڭ ئاپامنى=正面=15.012560671366522
1593-ئەجەپمۇ كۆرگۈم=正面=18.656416861141246
1594-كۈنى كېلىپ=正面=16.656416861141246
1595-چوڭ ئاپامنىڭ=正面=15.012560671366522
1596-ئاپامنىڭ ئامان=正面=18.656416861141246
1597-ئامان بولۇشىنى=正面=18.656416861141246
1601-چىرايلىق تۇرۇشىنى=正面=17.656416861141246
1606-خەتەرلىك ئوغلان=正面=9.040199241157156
1607-كوماندىسى ئىشلىگەن=正面=9.040199241157156
1608-مىكرو فىلىم=正面=5.339759523016064
1609-قالتىس ئىشلەپ=正面=9.040199241157156
1611-بوش ئەمەس=正面=5.455236740436
1619-باشلىنىش بولۇپتۇ=正面=11.74691590008956
1629-باشقىلارغا چىن=正面=7.60572836696345
1630-چىن كۆڭلىدىن=正面=6.020765866242294
1631-كۆڭلىدىن كەڭ=正面=7.60572836696345
1634-ھەقىقەتەن ئاسان=正面=7.60572836696345
1636-قول قويدۇم=正面=3.905288648822358
1637-بىرلەشمە خەۋەرلىشىشنىڭ=正面=4.1784685492055695
1658-يېڭى نەرسىلەرنى=正面=5.81101765415807
1661-چىرايلىق قىلۋالدىم=正面=8.078121724300908
1662-زىيارەت قىلىپ=正面=11.058925684564748
1663-زىيارەتتىن قايتىشىم=正面=8.078121724300908
1664-راستىنلا چىرايلىق=正面=8.078121724300908
1665-نېمىدىگەن گۈزەل=正面=6.943160955191833
1666-ئىچىم كۆيدى=正面=5.943160955191833
1676-ئېسىل تور=正面=13.058109686431287
1677-بەت باركەن=正面=6.678007276056066
1678-دېققەت قىلماپتىكەنمەن=正面=6.678007276056066
1685-ئۈمۈد قىلىمىز=正面=10.373038735882627
1689-ياخشى ئىشتىن=正面=16.56232906219187
1691-بەك خۇش=正面=15.725690504855159
1695-كۆپ ئىكەن=正面=3.756193629413547
1696-ئىنگىلىزچە بىلىدىغانلار=正面=9.578295136840337
1697-زىيارەت قىلسا=正面=7.033410075494517
1699-سۆزلەر ئىكەن=正面=3.7732359537495204
1704-يېڭى ناخشىسى=正面=2.430079762612481
1714-ئەپنى كۆرگەن=正面=8.659595238942186
1716-مۇكەممەل چىقىپتۇ=正面=8.659595238942186
1717-ئەپ بولا=正面=8.659595238942186
1726-ھەقىقىي ساپ=正面=13.225451342210285
1727-ساپ تەبىئي=正面=14.225451342210285
1728-تەبىئي گۈزەللىك=正面=14.225451342210285
1746-چىن دىلىمىزدىن=正面=4.020765866242294
1753-بۈگۈندىن باشلاپ=正面=8.315185493741149
1765-بايلىقنى بەرگەن=正面=6.943160955191833
1766-گۈزەل زۇۋاننى=正面=6.943160955191833
1767-زۇۋاننى بەرگەن=正面=6.943160955191833
1768-رەھمەت ئىگىسىگە=正面=6.943160955191833
1770-تەسەننا شۈكرىلەر=正面=6.943160955191833
1771-شۈكرىلەر بولسۇنكى=正面=5.943160955191833
1772-ئىبادەتلەرگە لايىق=正面=6.943160955191833
1773-لايىق تەربىيەلىلىگەن=正面=6.943160955191833
1774-پەدەرلىرىمگە تەشەككۈر=正面=6.943160955191833
1775-تىگىگە يەتكەندەك=正面=5.943160955191833
1776-ئادەم بولۇشى=正面=13.477351084866914
1797-نەقەدەر بەخىتلىك=正面=15.323263365567053
1801-يانفۇن سېتىۋالدىم=正面=9.41056769110227
1802-خوشال بولىۋاتىمەن=正面=9.41056769110227
1822-مىكروبىلوگدا يازغان=正面=7.282290387018451
1823-ئىنكاسلار ماس=正面=7.282290387018451
1824-ماس قەدەمدە=正面=4.112365385576139
1825-قەدەمدە ئەسلى=正面=6.282290387018451
1827-ۋىدىئولار بار=正面=7.282290387018451
1828-بار بەتتىمۇ=正面=7.282290387018451
1829-ئەمەلگە ئاشسا=正面=13.52293307667841
1839-ئېسىل كەنغۇ=正面=7.678007276056066
1840-شىركىتىگە بارغاندەك=正面=7.678007276056066
1841-ھەجەپ گۈزەلكەنغۇ=正面=6.943160955191833
1843-مۆكۈلەڭ ئوينىغان=正面=6.943160955191833
1844-ئېسىمگە كىلىپ=正面=5.943160955191833
1845-يۈزى چىرايلىق=正面=8.078121724300908
1847-بوشلۇقتىن ياخشى=正面=7.678007276056066
1857-ھېساپقا ئالمىغاندا=正面=8.8880187539819
1862-ھەقىقىي نەشىرىنى=正面=14.900662963234122
1863-نەشىرىنى ئىشلىتىۋاتىمەن=正面=16.900662963234126
1864-بەك راھەتكەن=正面=16.315700462512968
1865-ئۈرۈمچىگە قايتىمەن=正面=7.088639596214909
1874-تىلىمىزدەك چىرايلىق=正面=8.078121724300908
1875-چىرايلىق پاساھەتلىك=正面=8.078121724300908
1876-پاساھەتلىك تىلدىن=正面=8.078121724300908
1877-تىلىمىزنى قوغدايلى=正面=7.07812172430091
1878-تىل يۇقالسا=正面=8.078121724300908
1879-مىللەت يۇقۇلىدۇ=正面=8.078121724300908
1900-مەڭزىگە سۆيۈپ=正面=6.943160955191833
1902-گۈزەل ھارارەتلىك=正面=6.943160955191833
1903-قۇياشتىنمۇ ھارارەتلىك=正面=6.943160955191833
1904-ھارارەتلىك ئانام=正面=6.943160955191833
1905-ئانام بار=正面=6.943160955191833
1913-ئاللاھ نىسىپ=正面=8.936723078716069
1920-موبارەك بولسۇن=正面=19.872988470219344
1924-مىكرو خەت=正面=7.9955173840059715
1936-بوسۇغىسىدا دېگەن=正面=8.539301005224475
1937-كىتابنى ئوقۇساملا=正面=9.539301005224475
1938-باشقىچىلا جانلىنىپ=正面=7.954338504503318
1939-جانلىنىپ ئاكتىپلىشىپ=正面=9.539301005224475
1940-ئاكتىپلىشىپ كېتىمەن=正面=9.539301005224475
1963-بۈگۈن چوڭ=正面=5.756193629413547
1964-ئاپامنىڭ توغۇلغان=正面=8.078121724300908
1965-ئارىلىق يىراق=正面=8.078121724300908
1966-يىراق بولغاچقا=正面=6.493159223579753
1967-ئۇچۇر يوللاش=正面=9.745702267204152
1968-تېنىنىڭ سالامەت=正面=6.493159223579753
1969-سالامەت بولۇشىنى=正面=5.756193629413547
2020-پەيزى ئىشتىن=正面=6.60572836696345
2022-ئۈنۈملۈك بولغۇسى=正面=6.60572836696345
2023-بۈگۈن كېلىپ=正面=7.190690867684606
2024-جىق ئىشلارنى=正面=6.283800272076087
2025-ئىشلارنى تۈگىتىۋالدىم=正面=6.60572836696345
2027-خېلى ئارام=正面=7.033410075494517
2047-بۈگۈن ئېسىل=正面=7.678007276056066
2051-گۈدۈك چالالغىنىمدىن=正面=9.41056769110227
2052-بەكمۇ خوشال=正面=17.627940601439384
2054-شەرەپلىك نامغا=正面=18.77994369488443
2055-نامغا ئېرىشىشتىنمۇ=正面=19.949868696326746
2056-ئارتۇق بەخىت=正面=18.77994369488443
2057-خوشاللىق بولمىسا=正面=19.949868696326746
2059-ئۈممەتنىڭ شەرەپلىك=正面=19.949868696326746
2060-شەرەپلىك ئانىلىرى=正面=19.949868696326746
2064-قۇتلۇق بولسۇن=正面=4.856821343771194
2072-ياخشى ئىشلەپ=正面=6.686808578150583
2073-ھەقىقي گۈزەلدۇر=正面=6.943160955191833
2082-بۈگۈنكى ھەزرىتى=正面=9.41056769110227
2083-ئېلان قىلىۋىدى=正面=9.41056769110227
2084-خوشال بولۇپ=正面=17.949868696326746
2092-ناخشىنى ياقتۇرۇپ=正面=7.07812172430091
2093-چىرايلىق ئېيتىپتۇ=正面=8.078121724300908
2103-ئامراق بولۇپ=正面=4.729200706428053
2108-تۇركىيە ئىشلىگەن=正面=9.618372576215673
2110-پىكىرلەرنىڭ ئىلغارلىقى=正面=9.618372576215673
2111-ئىلغارلىقى جاھان=正面=9.618372576215673
2112-دىققىتىنى تارتىپ=正面=15.488646815930515
2114-قەدىمى مەدەنىيەتلىك=正面=9.618372576215673
2115-مەدەنىيەتلىك مىللەتنى=正面=9.618372576215673
2116-دۇنياغا تونۇتماقتا=正面=9.618372576215673
2121-كۆركەم چىقىپتۇ=正面=5.943160955191833
2126-ساياھىتىمىزنى باشلىدۇق=正面=6.943160955191833
2127-ناھايتى گۈزەلكەن=正面=6.943160955191833
2132-چىرايلىقكەن ياقتۇردۇم=正面=8.078121724300908
2158-خېلى تېز=正面=5.270766802243306
2159-تېز تەرەققى=正面=5.1170680045414265
2164-شۈكۈرلەر بولسۇن=正面=3.4358033655211373
2169-بىرىنجىسى بولۇپ=正面=7.678007276056066
2170-ئېسىل شەرەپ=正面=7.678007276056066
2171-شەرەپ نىسىپ=正面=7.678007276056066
2190-ئېسىل ماقالە=正面=7.678007276056066
2191-ماقالە ئىكەن=正面=6.09304477533491
2205-كېچە بولسىمۇ=正面=6.678007276056066
2206-تۈگىتىۋالدىم خۇشال=正面=7.678007276056066
2207-ئۈنۈمدارلىققا ئالغا=正面=7.678007276056066
2208-ئالغا ئېسىل=正面=7.678007276056066
2209-ئېسىل گۈدۈك=正面=7.678007276056066
2210-گۈدۈك چالغانلارغا=正面=6.678007276056066
2211-رەھمەت تېرىشىمەن=正面=7.678007276056066
2212-دەرت كەلمىسۇن=正面=4.508082274613754
2218-ئىش بولغۇدەك=正面=5.870274239714844
2219-ئەينى يىللىرى=正面=6.455236740436001
2222-قالتىس كۆڭۈللۈك=正面=9.040199241157156
2223-كۆڭۈللۈك ئوينايتۇق=正面=9.040199241157156
2237-كۆپ بولىدىغان=正面=8.38010241037522
2289-تۈنۈگۈنكى تەربىيىلەش=正面=10.578295136840339
2290-ئۈمىدۋار مۇنەۋۋەر=正面=10.578295136840339
2291-مۇنەۋۋەر خادىم=正面=10.578295136840339
2292-خادىم بولسۇن=正面=10.578295136840339
2293-تەسىرىگە ئۇچراشتىن=正面=10.578295136840339
2294-رەڭسىز ھالەتكە=正面=10.578295136840339
2296-خالىي بۇلالمايدىكەن=正面=10.578295136840339
2297-يۇقىرى كەيپىياتلىق=正面=10.578295136840339
2298-پائالىيەتلەرنى كۆپرەك=正面=10.578295136840339
2299-كۆپرەك ئۇيۇشتۇرۇپ=正面=10.578295136840339
2300-كۆپرەك قاتنىشىپ=正面=10.578295136840339
2318-مەنزىرىگە قاراپ=正面=13.960764773662753
2320-قۇياش چىقىدىغانغىمۇ=正面=13.960764773662753
2323-ئاللا خالىسا=正面=5.245193653838349
2326-قول قوپۇپ=正面=5.697327886297295
2328-يۈزنى يۇيۇپتۇ=正面=5.697327886297295
2331-ھۆرمەتلىك ئاتا=正面=7.702030505262583
2334-بىلىملىك ساغلام=正面=8.702030505262583
2335-ساغلام تەربىيلەپ=正面=8.702030505262583
2336-مىللىتىمىزگە ياراملىق=正面=8.702030505262583
2337-ياراملىق قىلىپ=正面=6.702030505262583
2339-شەخسىي بېتىمنى=正面=6.943160955191833
2340-ئاجايىپ گۈزەل=正面=6.943160955191833
2341-گۈزەل قىلىۋالدىم=正面=6.943160955191833
2358-بېتى يېڭىلىنىپ=正面=14.526569299074268
2359-ئەڭ يارىغان=正面=9.618372576215673
2360-يارىغان يېرى=正面=9.618372576215673
2361-بەك راھەت=正面=14.200223245093031
2362-راھەت يېقىشلىق=正面=9.618372576215673
2363-تېخىمۇ ئاددىيلىشىپتۇ=正面=9.618372576215673
2365-تەرەققىي قىلدۇرغىلى=正面=9.618372576215673
2366-ھالەتكە كەپتۇ=正面=9.618372576215673
2367-بەكرەك خۇش=正面=9.618372576215673
2374-بارلىققا كەلتۈرگەن=正面=11.30749584326839
2382-ئەڭ بەخىتلىك=正面=10.702030505262583
2383-بەخىتلىك ئادەم=正面=10.702030505262583
2386-ياخشى قىلىش=正面=7.38010241037522
2395-بەك تەسىر=正面=2.430079762612481
2398-ئوماق قىزى=正面=5.493159223579753
2403-نىسىپ قىلسۇن=正面=6.414097007401856
2406-شۈكرىلەر بولسۇن=正面=5.135806033134229
2409-تەرەققىي قىلىپ=正面=5.269216883044866
2443-ماس كېلىدۇ=正面=6.490832295589999
2461-تۇشلۇق ئېسىل=正面=32.525528947942185
2462-ئېسىل مۇسابىقە=正面=32.525528947942185
2463-مۇسابىقە بولدى=正面=34.807819334960634
2499-گۈزەل ھىكايىكەن=正面=6.943160955191833
2511-باھارغا ئاشىقمەن=正面=6.943160955191833
2512-چىرىغى يېقىپ=正面=6.943160955191833
2513-ئالەمنى گۈزەل=正面=6.943160955191833
2514-گۈزەل كۆرسىتەلەيدۇ=正面=6.943160955191833
2515-كۈزنىڭ مول=正面=6.943160955191833
2516-ۋېسالىغا يېتىشكە=正面=6.943160955191833
2517-بايرىمىنى كۈتىۋىلىش=正面=6.943160955191833
2518-نەقەدەر كۆڭۈللۈك=正面=6.943160955191833
2519-ئەپەندىنى ياختۇرىمەن=正面=7.811017654158069
2521-تەبئي خوشال=正面=20.112598196364853
2522-خوشال بولغان=正面=18.112598196364853
2524-قىينچىلق ئىچىدە=正面=20.112598196364853
2525-ئىچىدە بولسىمۇ=正面=20.112598196364853
2526-يەنىلا بەخىتلىك=正面=19.112598196364853
2537-ئىسمىمۇ ياخشى=正面=7.282290387018451
2541-نورۇزىڭلارغا مۇبارەك=正面=8.702030505262583
2542-يىڭىچە بەخت=正面=8.702030505262583
2543-بەخت يىڭىچە=正面=8.702030505262583
2544-يىڭىچە نەتىجە=正面=8.702030505262583
2546-ساغلاملىق ئاتا=正面=8.702030505262583
2563-ئېسىل قۇرۇلۇش=正面=7.678007276056066
2564-قۇرۇلۇش ئىكەن=正面=7.678007276056066
2565-بەك سېغىنىپ=正面=10.578295136840339
2566-مۇنەۋۋەر ئىقتىدارلىق=正面=10.578295136840339
2567-ياخشى ئوقۇتقۇچىلار=正面=10.578295136840339
2568-ئوقۇتقۇچىلار ئىدى=正面=10.578295136840339
2569-ئەجەپ سېغىندىم=正面=7.993332636119181
2584-چوڭ توپ=正面=7.226055153436912
2587-ئالاھىدە كۆڭۈل=正面=5.242598886625285
2588-كۆڭۈل بۆلىدىكەن=正面=7.1170680045414265
2603-بەك يارىشىپتۇ=正面=6.07812172430091
2621-ئويغۇرتىلىدىنمۇ گۈزەل=正面=6.943160955191833
2622-گۈزەل تىل=正面=6.943160955191833
2623-تىل بولمىسا=正面=5.943160955191833
2624-كېرەك تىل=正面=5.943160955191833
2626-تەسەۋۋۇرۇم جىق=正面=9.040199241157156
2627-دەرمان يوق=正面=8.040199241157156
2628-بۇئىشلەنسە قالتىس=正面=9.040199241157156
2629-قالتىس ئالقىشقا=正面=9.040199241157156
2630-ئالقىشقا ئېرىشكەن=正面=6.718271146269793
2633-ئاللاھقا شۈكىرى=正面=7.825605190381116
2634-ئىقتىدارلىق چىرايلىق=正面=17.118320965458064
2635-چىرايلىق ئۈمىدۋار=正面=17.118320965458064
2636-ئۈمىدۋار مىھرىبان=正面=17.118320965458064
2637-مىھرىبان دىيانەتلىك=正面=17.118320965458064
2639-قائىدە يوسۇنلۇق=正面=8.680656854470016
2640-يوسۇنلۇق قىزلاردىن=正面=17.118320965458064
2642-بۇلالمايۋاتىمەن دېسە=正面=17.118320965458064
2643-قالتىس جەمەتتە=正面=17.118320965458064
2644-ئاپىرىدە بولغىنىمدىن=正面=17.118320965458064
2645-تولىمۇ بەختلىك=正面=15.118320965458066
2647-پەخىرلىك ھېس=正面=15.118320965458066
2651-يېڭى نۇسخىسى=正面=3.1544453199990534
2654-دادا بولدۇم=正面=9.117068004541427
2663-ئاللاھقا بولغان=正面=4.697327886297295
2671-ھەدەش بولۇپ=正面=9.040199241157156
2672-ماشىنا ھەيدەش=正面=6.040199241157156
2673-تېخنىكىسى قالتىس=正面=9.040199241157156
2674-قالتىس ئىدى=正面=9.040199241157156
2675-تەسىر قىلغىنى=正面=7.040199241157156
2676-كەيپىياتى بولدى=正面=9.040199241157156
2677-ھەدەشنىڭ دېيىشىچە=正面=9.040199241157156
2678-خىزمەتنى قىلىۋاتقىلى=正面=9.040199241157156
2679-يىلدىن ئېشىپتۇ=正面=13.164462747102785
2680-ئىشقا چۈشكەندەك=正面=9.040199241157156
2681-شۇنچىلىك قىزغىن=正面=9.040199241157156
2683-خۇشال ئىدى=正面=7.040199241157156
2688-ناملىق روماننىڭ=正面=6.811017654158069
2692-ياخشى بۇلاتتى=正面=13.817268820382331
2700-ناھايتى ياخشى=正面=10.584480857658534
2706-مۇڭلىنىپ ئولتۇرۇپ=正面=5.943160955191833
2715-دۇئا قىلىپ=正面=8.560066871466768
2717-ئەجەب ئەمەس=正面=5.001590787121491
2724-ئالتۇنغا تىگۈشكىسىز=正面=7.60572836696345
2725-تىگۈشكىسىز گەپ=正面=7.60572836696345
2726-ئىشلىرىڭىزنى ئاسان=正面=7.60572836696345
2727-ئاسان قىلسۇن=正面=10.963926821434125
2728-بەكلا خوشال=正面=9.41056769110227
2729-خوشال ئوينىدۇق=正面=9.41056769110227
2730-قۇملۇققا چىقىپ=正面=9.41056769110227
2731-تازا ۋاقىرىدۇق=正面=9.41056769110227
2733-تاماق يىدۇق=正面=9.41056769110227
2734-ياقتۇرغان ئىشلارنى=正面=9.41056769110227
2735-ئىشلارنى قىلىۋاتىمەن=正面=7.825605190381116
2754-خۇش بولغىنىمنى=正面=8.618372576215673
2761-تولىمۇ ياخشى=正面=14.001335270679691
2772-يازما ئىكەن=正面=11.237282981041806
2777-پۇت تىرەپ=正面=4.729200706428053
2779-ئالاھىدىلىك بولۇش=正面=6.943160955191833
2780-ئۈنۈمى بولدى=正面=5.358198454470676
2782-ئېسىل ناخشا=正面=7.678007276056066
2784-قۇلاق سېلىڭلار=正面=6.678007276056066
2785-قىزغا ئېيتقان=正面=7.678007276056066
2786-نىمدىگەن ئېسىل=正面=7.678007276056066
2787-ئېسىل سۆزى=正面=7.678007276056066
2788-قېرىنداشلىرىم چەكسىز=正面=10.702030505262583
2789-چەكسىز بەخىتكە=正面=10.702030505262583
2790-بەخىتكە چۆمىدىغان=正面=10.702030505262583
2791-جەم بولىدىغان=正面=9.702030505262583
2792-رەھمىتىگە ئېرىشىدىغان=正面=10.702030505262583
2795-بەكمۇ بەخىتلىك=正面=10.702030505262583
2796-بەخىتلىك ھېس=正面=10.702030505262583
2797-قېرىنداشلىرىمغا مىھىر=正面=10.702030505262583
2798-مىھىر نەزىرىم=正面=10.702030505262583
2801-چەكسىز ھەمدۇسانالار=正面=10.702030505262583
2802-ھەمدۇسانالار بولغاي=正面=10.702030505262583
